Point number	Lat (UTM)	Long (UTM)	Dist from terminus
28	553497.892	6485661.139	12900
29	553120.613	6485990.695	13400.94571
30	552713.59	6486279.751	13900.16619
31	552287.569	6486542.07	14400.47125
32	551895.686	6486848.963	14898.22179
33	551513.423	6487169.411	15397.0323
34	551166.905	6487534.761	15900.57509
35	550876.568	6487940.088	16399.15864
36	550666.36	6488393.674	16899.08629
37	550461.229	6488849.169	17398.64052
38	550284.007	6489315.817	17897.80782
39	550104.577	6489782.336	18397.64289
40	549974.717	6490266.052	18898.48697
41	549905.453	6490762.62	19399.86236
42	549876.007	6491263.671	19901.77786
43	549838.448	6491763.237	20402.75377
44	549779.432	6492257.411	20900.43925
45	549691.018	6492749.582	21400.48857
46	549587.309	6493239.05	21900.82294
47	549460.01	6493723.328	22401.55262
48	549290.538	6494194.152	22901.94847
49	549027.318	6494628.271	23409.63348
50	548698.336	6495001.012	23906.79041
51	548321.068	6495327.321	24405.59769
52	547935.773	6495647.376	24906.48435
53	547739.504	6495807.43	25159.74074
54	547351.899	6496123.766	25660.04675
55	546960.29	6496436.18	26161.00595
56	546578.298	6496762.516	26663.41323
57	546200.494	6497092.169	27164.81821
58	545820.737	6497417.451	27664.84197
59	545441.238	6497745.189	28166.27162
60	545082.27	6498093.511	28666.45782
61	544734.329	6498449.646	29164.34845
62	544389.056	6498809.254	29662.87764
63	544056.485	6499182.872	30163.07149
64	543741.388	6499567.901	30660.59882
65	543424.415	6499955.334	31161.1747
66	543118.958	6500354.928	31664.14522
67	542831.979	6500765.203	32164.82728
68	542578.989	6501196.489	32664.83883
69	542326.12	6501564.564	33111.40567
70	542113.97	6502020.85	33614.6
71	541976.765	6502499.178	34112.21721
72	541925.807	6502994.145	34609.80042
73	541908.457	6503493.609	35109.56567
74	541952.472	6503992.469	35610.36366
75	542050.417	6504480.81	36108.43007
76	542263.276	6504931.568	36606.91952
77	542548.979	6505340.732	37105.95998
78	542825.584	6505752.648	37602.13043
79	543076.027	6506188.452	38104.77029
80	543316.202	6506627.792	38605.47346
81	543552.428	6507067.541	39104.65469
82	543791.452	6507507.165	39605.05627
83	544033.99	6507944.335	40104.99855
84	544286.472	6508374.986	40604.20537
85	544550.458	6508799.391	41104.01354
86	544829.169	6509213.925	41603.53157
87	545125.124	6509615.925	42102.72428
88	545429.639	6510011.03	42601.56027
89	545732.45	6510410.535	43102.85734
90	546024.106	6510816.341	43602.599
91	546305.388	6511227.971	44101.15574
92	546561.143	6511654.199	44598.2281
93	546773.775	6512104.899	45096.5682
94	546915.811	6512581.553	45593.93452
95	547018.199	6513069.415	46092.42488
96	547017.458	6513564.844	46587.85443
97	546920.613	6514050.637	47083.20662
98	546751.246	6514520	47582.1924
99	546678.971	6515013.86	48081.313
100	546664.983	6515510.741	48578.39086
101	546673.025	6516005.793	49073.50817
102	546699.243	6516503.263	49571.66857
103	546744.019	6516999.126	50069.54909
104	546793.425	6517496.531	50569.40175
105	546846.757	6517994.369	51070.08826
106	546934.635	6518486.168	51569.67689
107	547022.301	6518977.996	52069.25682
108	547126.364	6519465.899	52568.134
109	547267.037	6519943.675	53066.18902
110	547407.735	6520421.927	53564.70773
111	547555.32	6520899.444	54064.51151
112	547718.376	6521371.592	54564.02226
113	547881.072	6521842.936	55062.65555
114	548044.33	6522314.506	55561.68605
115	548213.604	6522781.997	56058.87969
116	548417.554	6523238.166	56558.56535
117	548621.481	6523693.461	57057.44385
